"COUNTRY";"STATE";"CITY";"LONGITUDE";"LATITUDE";"PLATENUM";"ZIP"
"DE";"Mecklenburg-Vorpommern";"Altenpleen";01.12.33;"54.35";"NVP";18445
"DE";"Baden-Württemberg";"Altenriet";"9.21667";"48.5833";"ES";72657
"DE";"Sachsen-Anhalt";"Altenroda";01.11.67;"51.25";"BLK";6642
"DE";"Sachsen-Anhalt";"Altensalzwedel";01.11.33;"52.7667";"SAW";29416
"DE";"Hessen";"Altenstadt";01.08.95;"50.2833";"FB";63674
"DE";"Bayern";"Altenstadt";01.10.67;"47.8167";"WM";86972
"DE";"Bayern";"Altenstadt";01.10.67;"48.1667";"NU";89281
"DE";"Bayern";"Altenstadt an der Waldnaab";01.12.67;"49.72";"NEW";92665
"DE";"Baden-Württemberg";"Altensteig";08.06.07;"48.5833";"CW";72213
"DE";"Bayern";"Altenthann";12.03.07;"49.1";"R";93177
"DE";"Mecklenburg-Vorpommern";"Altentreptow";"13.25";"53.6833";"DM";17087
"DE";"Sachsen-Anhalt";"Altenzaun";01.12.33;"52.75";"SDL";39596
"DE";"Rheinland-Pfalz";"Alterkülz";"7.46667";"50.0333";"SIM";56288
"DE";"Sachsen-Anhalt";"Alterode";01.11.33;"51.6667";"ML";6543
"DE";"Thüringen";"Altersbach";01.10.33;"50.7";"SM";98587
"DE";"Bayern";"Altertheim";01.09.75;"49.7167";"WÜ";97237
"DE";"Bayern";"Altfraunhofen";01.12.67;"48.45";"LA";84169
"DE";"Brandenburg";"Altglietzen";"14.0833";"52.8333";"MOL";16259
"DE";"Brandenburg";"Rietz-Neuendorf";"14.1167";"52.3";"LOS";15526
"DE";"Bayern";"Althegnenberg";01.11.67;"48.2333";"FFB";82278
"DE";"Baden-Württemberg";"Altheim";"9.76667";"48.3333";"UL";89605
"DE";"Baden-Württemberg";"Altheim";01.09.45;"48.15";"BC";88499
"DE";"Baden-Württemberg";"Altheim (Alb)";01.10.33;"48.5833";"UL";89174
"DE";"Baden-Württemberg";"Althengstett";"8.81667";"48.7333";"CW";75382
"DE";"Rheinland-Pfalz";"Althornbach";"7.36667";"49.2";"PS";66484
"DE";"Baden-Württemberg";"Althütte";"9.56667";"48.9167";"WN";71566
"DE";"Brandenburg";"Althüttendorf";13.08.07;"52.9667";"BAR";16247
"DE";"Sachsen-Anhalt";"Altjeßnitz";01.12.67;"51.7";"BTF";6800
"DE";"Mecklenburg-Vorpommern";"Alt Kätwin";01.12.67;"53.9667";"GÜ";18299
"DE";"Mecklenburg-Vorpommern";"Altkalen";01.12.75;"53.9";"GÜ";17179
"DE";"Thüringen";"Altkirchen";01.12.06;50942;"ABG";4626
"DE";"Mecklenburg-Vorpommern";"Alt Krenzlin";11.03.07;"53.3167";"LWL";19288
"DE";"Brandenburg";"Alt Krüssow";01.12.67;"53.15";"PR";16928
